기업명,티커,스코어 ▼,5년 연평균 매출액 성장률,5년 연평균 영업이익 성장률,주가 ↕,배당금 ↕,배당 수익률(%),시총 (억원),PER(배),이익수익률(%),PBR(배),ROE (%),52주 가격범위
삼성증권,016360.KS,,nan%,,80400.0,3500.0,426.0,71797.2,,,,12.055001,41550.0 ~ 84400.0
BNK금융지주,138930.KS,0.0,,,15400.0,810.0,531.0,48421.47,,,,0.0,9250.0 ~ 16050.0
키움증권,039490.KS,,nan%,,288000.0,7500.0,240.0,72421.26,,,,15.956001,107000.0 ~ 322500.0
기아,000270.KS,6.44,,,117000.0,6500.0,551.0,456084.59,,,,16.093999,81300.0 ~ 126200.0
SNT홀딩스,036530.KS,4.12,,,60400.0,3550.0,560.0,8733.64,,,,10.312000000000001,20800.0 ~ 89000.0
현대차우,005385.KS,0.0,,,200500.0,10000.0,488.99999999999994,669274.56,,,,0.0,132000.0 ~ 220500.0
삼성전자우,005935.KS,,nan%,nan%,74700.0,1480.0,187.0,6295428.84,,,,8.315999999999999,41700.0 ~ 87500.0
우리금융지주,316140.KS,3.64,,,26800.0,1260.0,467.0,196718.0,,,,9.1070004,15010.0 ~ 27650.0
현대홈쇼핑,057050.KS,1.12,,,56700.0,2800.0,496.0,6354.79,,,,2.795,42800.0 ~ 60300.0
한국금융지주,071050.KS,6.75,,,169700.0,3980.0,225.0,89497.25,,,,16.868,64600.0 ~ 187400.0
다우기술,023590.KS,5.83,,,38850.0,1400.0,343.0,16764.1,,,,14.57,17050.0 ~ 42350.0
한국타이어앤테크놀로지,161390.KS,,nan%,nan%,59500.0,2800.0,469.00000000000006,72583.31,,,,8.167,35350.0 ~ 61600.0
기아우,000275.KS,0.0,,,,,0.0,,,,,0.0,None ~ None
LG화학우,051915.KS,-0.52,,,202000.0,1050.0,50.0,303111.7,,,,-1.298,91000.0 ~ 218000.0
미래에셋증권우,006805.KS,4.08,,,10810.0,275.0,246.0,118954.96,,,,10.2,4090.0 ~ 12200.0
삼성전기우,009155.KS,,nan%,nan%,98000.0,1850.0,180.0,156145.56,,,,6.512999999999999,49200.0 ~ 108800.0
NH투자증권,005940.KS,0.0,,,21400.0,950.0,426.99999999999994,79795.14,,,,0.0,12110.0 ~ 23500.0
유안타증권,003470.KS,,nan%,,3855.0,200.0,505.0,7920.45,,,,4.013,2465.0 ~ 4605.0
미래에셋증권,006800.KS,4.08,,,23400.0,250.0,102.0,117368.42,,,,10.2,7920.0 ~ 27800.0
두산우,000155.KS,,nan%,nan%,566000.0,2050.0,34.0,151334.06,,,,0.877,93000.0 ~ 643000.0
KB금융,105560.KS,3.8,,,129500.0,3720.0,279.0,467860.18,,,,9.511,69300.0 ~ 140000.0
신한지주,055550.KS,,nan%,,79600.0,2250.0,279.0,386453.99,,,,8.345999599999999,42500.0 ~ 83900.0
SK케미칼우,28513K.KS,,nan%,,31650.0,400.0,126.0,14280.99,,,,0.9740000000000001,17150.0 ~ 34300.0
한화투자증권,003530.KS,,nan%,,5170.0,,0.0,11431.58,,,,2.794,2910.0 ~ 7490.0
메리츠금융지주,138040.KS,,nan%,,121900.0,1350.0,111.00000000000001,213491.0,,,,21.959,96700.0 ~ 131000.0
