date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Interest Income,Interest Expense,Interest Income,Rent Expense Supplemental,Otherunder Preferred Stock Dividend,Minority Interests,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Write Off,Gain On Sale Of Security,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,stock_id,fiscal_date,Average Dilution Earnings,Earnings From Equity Interest,Earnings From Equity Interest Net Of Tax,Other Operating Expenses,Total Other Finance Cost,Net Income Discontinuous Operations,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Gain On Sale Of Business,Other Special Charges,Impairment Of Capital Assets,Insurance And Claims,Salaries And Wages,Provision For Doubtful Accounts,Depletion Income Statement,Depreciation Income Statement,Preferred Stock Dividends,Gain On Sale Of Ppe,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense,Other Taxes
,0.0,0.159,28202000000.0,21448000000.0,2850000000.0,46099000000.0,28202000000.0,25352000000.0,21448000000.0,21448000000.0,60425000000.0,25352000000.0,15348175000.0,15287521000.0,1.4,1.4,21448000000.0,21448000000.0,21448000000.0,21448000000.0,21448000000.0,4046000000.0,25494000000.0,142000000.0,142000000.0,25352000000.0,14326000000.0,8006000000.0,6320000000.0,39678000000.0,46099000000.0,85777000000.0,85777000000.0,,,,,,,,,,,,,,,,,,,AAPL,2024-06-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.21,32502000000.0,14736000000.0,2911000000.0,51051000000.0,32502000000.0,29591000000.0,14736000000.0,14736000000.0,65339000000.0,29591000000.0,15242853000.0,15171990000.0,0.97,0.97,14736000000.0,14736000000.0,14736000000.0,14736000000.0,14736000000.0,14874000000.0,29610000000.0,19000000.0,19000000.0,29591000000.0,14288000000.0,7765000000.0,6523000000.0,43879000000.0,51051000000.0,94930000000.0,94930000000.0,,,,,,,,,,,,,,,,,,,AAPL,2024-09-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.147,45912000000.0,36330000000.0,3080000000.0,66025000000.0,45912000000.0,42832000000.0,36330000000.0,36330000000.0,81468000000.0,42832000000.0,15150865000.0,15081724000.0,2.4,2.41,36330000000.0,36330000000.0,36330000000.0,36330000000.0,36330000000.0,6254000000.0,42584000000.0,-248000000.0,-248000000.0,42832000000.0,15443000000.0,8268000000.0,7175000000.0,58275000000.0,66025000000.0,124300000000.0,124300000000.0,,,,,,,,,,,,,,,,,,,AAPL,2024-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.155,32250000000.0,24780000000.0,2661000000.0,50492000000.0,32250000000.0,29589000000.0,24780000000.0,24780000000.0,65770000000.0,29589000000.0,15056133000.0,14994082000.0,1.65,1.65,24780000000.0,24780000000.0,24780000000.0,24780000000.0,24780000000.0,4530000000.0,29310000000.0,-279000000.0,-279000000.0,29589000000.0,15278000000.0,8550000000.0,6728000000.0,44867000000.0,50492000000.0,95359000000.0,95359000000.0,,,,,,,,,,,,,,,,,,,AAPL,2025-03-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.164,31032000000.0,23434000000.0,2830000000.0,50318000000.0,31032000000.0,28202000000.0,23434000000.0,23434000000.0,65834000000.0,28202000000.0,14948179000.0,14902886000.0,1.57,1.57,23434000000.0,23434000000.0,23434000000.0,23434000000.0,23434000000.0,4597000000.0,28031000000.0,-171000000.0,-171000000.0,28202000000.0,15516000000.0,8866000000.0,6650000000.0,43718000000.0,50318000000.0,94036000000.0,94036000000.0,,,,,,,,,,,,,,,,,,,AAPL,2025-06-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.159,28202000000.0,21448000000.0,2850000000.0,46099000000.0,28202000000.0,25352000000.0,21448000000.0,21448000000.0,60425000000.0,25352000000.0,15348175000.0,15287521000.0,1.4,1.4,21448000000.0,21448000000.0,21448000000.0,21448000000.0,21448000000.0,4046000000.0,25494000000.0,142000000.0,142000000.0,25352000000.0,14326000000.0,8006000000.0,6320000000.0,39678000000.0,46099000000.0,85777000000.0,85777000000.0,,,,,,,,,,,,,,,,,,,AAPL,2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.159,28202000000.0,21448000000.0,2850000000.0,46099000000.0,28202000000.0,25352000000.0,21448000000.0,21448000000.0,60425000000.0,25352000000.0,15348175000.0,15287521000.0,1.4,1.4,21448000000.0,21448000000.0,21448000000.0,21448000000.0,21448000000.0,4046000000.0,25494000000.0,142000000.0,142000000.0,25352000000.0,14326000000.0,8006000000.0,6320000000.0,39678000000.0,46099000000.0,85777000000.0,85777000000.0,,,,,,,,,,,,,,,,,,,AAPL,2024-06-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.21,32502000000.0,14736000000.0,2911000000.0,51051000000.0,32502000000.0,29591000000.0,14736000000.0,14736000000.0,65339000000.0,29591000000.0,15242853000.0,15171990000.0,0.97,0.97,14736000000.0,14736000000.0,14736000000.0,14736000000.0,14736000000.0,14874000000.0,29610000000.0,19000000.0,19000000.0,29591000000.0,14288000000.0,7765000000.0,6523000000.0,43879000000.0,51051000000.0,94930000000.0,94930000000.0,,,,,,,,,,,,,,,,,,,AAPL,2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.21,32502000000.0,14736000000.0,2911000000.0,51051000000.0,32502000000.0,29591000000.0,14736000000.0,14736000000.0,65339000000.0,29591000000.0,15242853000.0,15171990000.0,0.97,0.97,14736000000.0,14736000000.0,14736000000.0,14736000000.0,14736000000.0,14874000000.0,29610000000.0,19000000.0,19000000.0,29591000000.0,14288000000.0,7765000000.0,6523000000.0,43879000000.0,51051000000.0,94930000000.0,94930000000.0,,,,,,,,,,,,,,,,,,,AAPL,2024-09-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.147,45912000000.0,36330000000.0,3080000000.0,66025000000.0,45912000000.0,42832000000.0,36330000000.0,36330000000.0,81468000000.0,42832000000.0,15150865000.0,15081724000.0,2.4,2.41,36330000000.0,36330000000.0,36330000000.0,36330000000.0,36330000000.0,6254000000.0,42584000000.0,-248000000.0,-248000000.0,42832000000.0,15443000000.0,8268000000.0,7175000000.0,58275000000.0,66025000000.0,124300000000.0,124300000000.0,,,,,,,,,,,,,,,,,,,AAPL,2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,
